food_id,gx,gy,x,y,value,size,fruit_index,hex_id_le,hex_x_le,hex_y_le,binary_packet_hex
25,24,0,7403.6,200,9,82,5,19 00 00 00,CD 5C E7 45,00 00 48 43,19 00 00 00 18 00 00 00 CD 5C E7 45 00 00 48 43
26,25,0,7745.4,202.9,9,82,6,1A 00 00 00,33 0B F2 45,66 E6 4A 43,1A 00 00 00 19 00 00 00 33 0B F2 45 66 E6 4A 43
27,26,0,7940.3,247.4,5,62,8,1B 00 00 00,66 22 F8 45,66 66 77 43,1B 00 00 00 1A 00 00 00 66 22 F8 45 66 66 77 43
28,27,0,8238.1,200,10,87,0,1C 00 00 00,66 B8 00 46,00 00 48 43,1C 00 00 00 1B 00 00 00 66 B8 00 46 00 00 48 43
29,28,0,8474.8,208.1,5,62,8,1D 00 00 00,33 6B 04 46,9A 19 50 43,1D 00 00 00 1C 00 00 00 33 6B 04 46 9A 19 50 43
30,29,0,8772.4,200,10,87,10,1E 00 00 00,9A 11 09 46,00 00 48 43,1E 00 00 00 1D 00 00 00 9A 11 09 46 00 00 48 43
31,30,0,9077.7,200,8,77,5,1F 00 00 00,CD D6 0D 46,00 00 48 43,1F 00 00 00 1E 00 00 00 CD D6 0D 46 00 00 48 43
32,31,0,9435.7,200,7,72,6,20 00 00 00,CD 6E 13 46,00 00 48 43,20 00 00 00 1F 00 00 00 CD 6E 13 46 00 00 48 43
33,32,0,9713.5,200,10,87,9,21 00 00 00,00 C6 17 46,00 00 48 43,21 00 00 00 20 00 00 00 00 C6 17 46 00 00 48 43
34,33,0,9971.4,200,5,62,4,22 00 00 00,9A CD 1B 46,00 00 48 43,22 00 00 00 21 00 00 00 9A CD 1B 46 00 00 48 43
35,34,0,10250.5,200,6,67,5,23 00 00 00,00 2A 20 46,00 00 48 43,23 00 00 00 22 00 00 00 00 2A 20 46 00 00 48 43
36,35,0,10725.6,200,10,87,11,24 00 00 00,66 96 27 46,00 00 48 43,24 00 00 00 23 00 00 00 66 96 27 46 00 00 48 43
37,36,0,11004.6,239.7,5,62,12,25 00 00 00,66 F2 2B 46,33 B3 6F 43,25 00 00 00 24 00 00 00 66 F2 2B 46 33 B3 6F 43
38,37,0,11218.1,200,5,62,2,26 00 00 00,66 48 2F 46,00 00 48 43,26 00 00 00 25 00 00 00 66 48 2F 46 00 00 48 43
39,38,0,11541.6,200.4,8,77,8,27 00 00 00,66 56 34 46,66 66 48 43,27 00 00 00 26 00 00 00 66 56 34 46 66 66 48 43
40,39,0,11898.3,200,8,77,11,28 00 00 00,33 E9 39 46,00 00 48 43,28 00 00 00 27 00 00 00 33 E9 39 46 00 00 48 43
41,40,0,12179,200,9,82,9,29 00 00 00,00 4C 3E 46,00 00 48 43,29 00 00 00 28 00 00 00 00 4C 3E 46 00 00 48 43
42,41,0,12477.7,200,5,62,6,2A 00 00 00,CD F6 42 46,00 00 48 43,2A 00 00 00 29 00 00 00 CD F6 42 46 00 00 48 43
43,42,0,12671.4,200,9,82,10,2B 00 00 00,9A FD 45 46,00 00 48 43,2B 00 00 00 2A 00 00 00 9A FD 45 46 00 00 48 43
44,43,0,13012.2,200,6,67,6,2C 00 00 00,CD 50 4B 46,00 00 48 43,2C 00 00 00 2B 00 00 00 CD 50 4B 46 00 00 48 43
45,44,0,13445.7,200,5,62,9,2D 00 00 00,CD 16 52 46,00 00 48 43,2D 00 00 00 2C 00 00 00 CD 16 52 46 00 00 48 43
46,45,0,13549.1,222,8,77,12,2E 00 00 00,66 B4 53 46,00 00 5E 43,2E 00 00 00 2D 00 00 00 66 B4 53 46 00 00 5E 43
47,46,0,13905.6,200,7,72,12,2F 00 00 00,66 46 59 46,00 00 48 43,2F 00 00 00 2E 00 00 00 66 46 59 46 00 00 48 43
48,47,0,14184.6,245.2,9,82,0,30 00 00 00,66 A2 5D 46,33 33 75 43,30 00 00 00 2F 00 00 00 66 A2 5D 46 33 33 75 43
49,48,0,14442.4,200,9,82,5,31 00 00 00,9A A9 61 46,00 00 48 43,31 00 00 00 30 00 00 00 9A A9 61 46 00 00 48 43
50,49,0,14941.7,205.9,5,62,9,32 00 00 00,CD 76 69 46,66 E6 4D 43,32 00 00 00 31 00 00 00 CD 76 69 46 66 E6 4D 43
51,50,0,15239.6,200,5,62,10,33 00 00 00,66 1E 6E 46,00 00 48 43,33 00 00 00 32 00 00 00 66 1E 6E 46 00 00 48 43
52,51,0,15433.1,200,9,82,11,34 00 00 00,66 24 71 46,00 00 48 43,34 00 00 00 33 00 00 00 66 24 71 46 00 00 48 43
53,52,0,15732,258.4,6,67,11,35 00 00 00,00 D0 75 46,33 33 81 43,35 00 00 00 34 00 00 00 00 D0 75 46 33 33 81 43
54,53,0,15969.9,200,10,87,4,36 00 00 00,9A 87 79 46,00 00 48 43,36 00 00 00 35 00 00 00 9A 87 79 46 00 00 48 43
55,54,0,16412.2,200,9,82,7,37 00 00 00,66 38 80 46,00 00 48 43,37 00 00 00 36 00 00 00 66 38 80 46 00 00 48 43
56,55,0,16651.4,200,6,67,11,38 00 00 00,CD 16 82 46,00 00 48 43,38 00 00 00 37 00 00 00 CD 16 82 46 00 00 48 43
57,56,0,16949.1,227.4,5,62,0,39 00 00 00,33 6A 84 46,66 66 63 43,39 00 00 00 38 00 00 00 33 6A 84 46 66 66 63 43
58,57,0,17141.3,200,10,87,3,3A 00 00 00,9A EA 85 46,00 00 48 43,3A 00 00 00 39 00 00 00 9A EA 85 46 00 00 48 43
59,58,0,17483.2,200,10,87,7,3B 00 00 00,66 96 88 46,00 00 48 43,3B 00 00 00 3A 00 00 00 66 96 88 46 00 00 48 43
60,59,0,17921.8,200,6,67,1,3C 00 00 00,9A 03 8C 46,00 00 48 43,3C 00 00 00 3B 00 00 00 9A 03 8C 46 00 00 48 43
61,60,0,18221,200,5,62,0,3D 00 00 00,00 5A 8E 46,00 00 48 43,3D 00 00 00 3C 00 00 00 00 5A 8E 46 00 00 48 43
62,61,0,18498.8,200,8,77,3,3E 00 00 00,9A 85 90 46,00 00 48 43,3E 00 00 00 3D 00 00 00 9A 85 90 46 00 00 48 43
63,62,0,18856.6,200,6,67,1,3F 00 00 00,33 51 93 46,00 00 48 43,3F 00 00 00 3E 00 00 00 33 51 93 46 00 00 48 43
64,63,0,18961.3,200,6,67,2,40 00 00 00,9A 22 94 46,00 00 48 43,40 00 00 00 3F 00 00 00 9A 22 94 46 00 00 48 43
65,64,0,19393.5,200,8,77,7,41 00 00 00,00 83 97 46,00 00 48 43,41 00 00 00 40 00 00 00 00 83 97 46 00 00 48 43
66,65,0,19715.7,200,7,72,2,42 00 00 00,66 07 9A 46,00 00 48 43,42 00 00 00 41 00 00 00 66 07 9A 46 00 00 48 43
67,66,0,19929.2,200,6,67,5,43 00 00 00,66 B2 9B 46,00 00 48 43,43 00 00 00 42 00 00 00 66 B2 9B 46 00 00 48 43
68,67,0,20226.7,252.3,5,62,4,44 00 00 00,66 05 9E 46,CD 4C 7C 43,44 00 00 00 43 00 00 00 66 05 9E 46 CD 4C 7C 43
69,68,0,20463.3,200,5,62,12,45 00 00 00,9A DE 9F 46,00 00 48 43,45 00 00 00 44 00 00 00 9A DE 9F 46 00 00 48 43
70,69,0,20906.7,200,7,72,10,46 00 00 00,66 55 A3 46,00 00 48 43,46 00 00 00 45 00 00 00 66 55 A3 46 00 00 48 43
71,70,0,21188.8,200,7,72,9,47 00 00 00,9A 89 A5 46,00 00 48 43,47 00 00 00 46 00 00 00 9A 89 A5 46 00 00 48 43
72,71,0,21401,200,8,77,1,48 00 00 00,00 32 A7 46,00 00 48 43,48 00 00 00 47 00 00 00 00 32 A7 46 00 00 48 43
73,72,0,21678.8,200,5,62,4,49 00 00 00,9A 5D A9 46,00 00 48 43,49 00 00 00 48 00 00 00 9A 5D A9 46 00 00 48 43
74,73,0,22155.2,200,7,72,8,4A 00 00 00,66 16 AD 46,00 00 48 43,4A 00 00 00 49 00 00 00 66 16 AD 46 00 00 48 43
75,74,0,22435.5,200,7,72,7,4B 00 00 00,00 47 AF 46,00 00 48 43,4B 00 00 00 4A 00 00 00 00 47 AF 46 00 00 48 43
76,75,0,22690.9,200,5,62,6,4C 00 00 00,CD 45 B1 46,00 00 48 43,4C 00 00 00 4B 00 00 00 CD 45 B1 46 00 00 48 43
77,76,0,22970,246.5,7,72,7,4D 00 00 00,00 74 B3 46,00 80 76 43,4D 00 00 00 4C 00 00 00 00 74 B3 46 00 80 76 43
78,77,0,23329.2,200,9,82,6,4E 00 00 00,66 42 B6 46,00 00 48 43,4E 00 00 00 4D 00 00 00 66 42 B6 46 00 00 48 43
79,78,0,23652.4,254.9,5,62,6,4F 00 00 00,CD C8 B8 46,66 E6 7E 43,4F 00 00 00 4E 00 00 00 CD C8 B8 46 66 E6 7E 43
80,79,0,23863.4,200,9,82,0,50 00 00 00,CD 6E BA 46,00 00 48 43,50 00 00 00 4F 00 00 00 CD 6E BA 46 00 00 48 43
81,80,0,24144,200,9,82,11,51 00 00 00,00 A0 BC 46,00 00 48 43,51 00 00 00 50 00 00 00 00 A0 BC 46 00 00 48 43
82,81,0,24443.1,200,7,72,1,52 00 00 00,33 F6 BE 46,00 00 48 43,52 00 00 00 51 00 00 00 33 F6 BE 46 00 00 48 43
83,82,0,24856.7,200,10,87,5,53 00 00 00,66 31 C2 46,00 00 48 43,53 00 00 00 52 00 00 00 66 31 C2 46 00 00 48 43
84,83,0,24977.2,200,6,67,8,54 00 00 00,66 22 C3 46,00 00 48 43,54 00 00 00 53 00 00 00 66 22 C3 46 00 00 48 43
85,84,0,25390.9,200,10,87,12,55 00 00 00,CD 5D C6 46,00 00 48 43,55 00 00 00 54 00 00 00 CD 5D C6 46 00 00 48 43
86,85,0,25659.9,200,5,62,10,56 00 00 00,CD 77 C8 46,00 00 48 43,56 00 00 00 55 00 00 00 CD 77 C8 46 00 00 48 43
87,86,0,25852.4,200,5,62,6,57 00 00 00,CD F8 C9 46,00 00 48 43,57 00 00 00 56 00 00 00 CD F8 C9 46 00 00 48 43
88,87,0,26150,252,10,87,8,58 00 00 00,00 4C CC 46,00 00 7C 43,58 00 00 00 57 00 00 00 00 4C CC 46 00 00 7C 43
89,88,0,26651.3,200,5,62,2,59 00 00 00,9A 36 D0 46,00 00 48 43,59 00 00 00 58 00 00 00 9A 36 D0 46 00 00 48 43
90,89,0,26930.2,200,5,62,0,5A 00 00 00,66 64 D2 46,00 00 48 43,5A 00 00 00 59 00 00 00 66 64 D2 46 00 00 48 43
91,90,0,27228.2,200,6,67,1,5B 00 00 00,66 B8 D4 46,00 00 48 43,5B 00 00 00 5A 00 00 00 66 B8 D4 46 00 00 48 43
92,91,0,27422,200,10,87,8,5C 00 00 00,00 3C D6 46,00 00 48 43,5C 00 00 00 5B 00 00 00 00 3C D6 46 00 00 48 43
93,92,0,27646.6,200,10,87,4,5D 00 00 00,33 FD D7 46,00 00 48 43,5D 00 00 00 5C 00 00 00 33 FD D7 46 00 00 48 43
94,93,0,28104.6,200,9,82,10,5E 00 00 00,33 91 DB 46,00 00 48 43,5E 00 00 00 5D 00 00 00 33 91 DB 46 00 00 48 43
95,94,0,28400.8,200,9,82,11,5F 00 00 00,9A E1 DD 46,00 00 48 43,5F 00 00 00 5E 00 00 00 9A E1 DD 46 00 00 48 43
96,95,0,28638.7,200,8,77,4,60 00 00 00,66 BD DF 46,00 00 48 43,60 00 00 00 5F 00 00 00 66 BD DF 46 00 00 48 43
97,96,0,28937.6,200,5,62,4,61 00 00 00,33 13 E2 46,00 00 48 43,61 00 00 00 60 00 00 00 33 13 E2 46 00 00 48 43
98,97,0,29174.5,200,6,67,2,62 00 00 00,00 ED E3 46,00 00 48 43,62 00 00 00 61 00 00 00 00 ED E3 46 00 00 48 43
99,98,0,29472.1,200,5,62,4,63 00 00 00,33 40 E6 46,00 00 48 43,63 00 00 00 62 00 00 00 33 40 E6 46 00 00 48 43
100,99,0,29800,200,7,72,3,64 00 00 00,00 D0 E8 46,00 00 48 43,64 00 00 00 63 00 00 00 00 D0 E8 46 00 00 48 43
101,0,1,200,416.5,10,87,12,65 00 00 00,00 00 48 43,00 40 D0 43,65 00 00 00 00 00 01 00 00 00 48 43 00 40 D0 43
102,1,1,471.5,551.5,6,67,6,66 00 00 00,00 C0 EB 43,00 E0 09 44,66 00 00 00 01 00 01 00 00 C0 EB 43 00 E0 09 44
103,2,1,734.1,411.4,6,67,11,67 00 00 00,66 86 37 44,33 B3 CD 43,67 00 00 00 02 00 01 00 66 86 37 44 33 B3 CD 43
104,3,1,943,539,7,72,4,68 00 00 00,00 C0 6B 44,00 C0 06 44,68 00 00 00 03 00 01 00 00 C0 6B 44 00 C0 06 44
105,4,1,1425.5,398.8,7,72,9,69 00 00 00,00 30 B2 44,66 66 C7 43,69 00 00 00 04 00 01 00 00 30 B2 44 66 66 C7 43
106,5,1,1585,526.2,8,77,11,6A 00 00 00,00 20 C6 44,CD 8C 03 44,6A 00 00 00 05 00 01 00 00 20 C6 44 CD 8C 03 44
107,6,1,2020.7,545.8,8,77,7,6B 00 00 00,66 96 FC 44,33 73 08 44,6B 00 00 00 06 00 01 00 66 96 FC 44 33 73 08 44
108,7,1,2168.5,512.1,7,72,8,6C 00 00 00,00 88 07 45,66 06 00 44,6C 00 00 00 07 00 01 00 00 88 07 45 66 06 00 44
109,8,1,2497.1,533.2,7,72,7,6D 00 00 00,9A 11 1C 45,CD 4C 05 44,6D 00 00 00 08 00 01 00 9A 11 1C 45 CD 4C 05 44
110,9,1,2859.9,499.5,8,77,6,6E 00 00 00,66 BE 32 45,00 C0 F9 43,6E 00 00 00 09 00 01 00 66 BE 32 45 00 C0 F9 43
111,10,1,3176.9,359.6,6,67,4,6F 00 00 00,66 8E 46 45,CD CC B3 43,6F 00 00 00 0A 00 01 00 66 8E 46 45 CD CC B3 43
112,11,1,3412.2,370.3,6,67,8,70 00 00 00,33 43 55 45,66 26 B9 43,70 00 00 00 0B 00 01 00 33 43 55 45 66 26 B9 43
113,12,1,3756.3,348.5,9,82,3,71 00 00 00,CD C4 6A 45,00 40 AE 43,71 00 00 00 0C 00 01 00 CD C4 6A 45 00 40 AE 43
114,13,1,4103.5,357.7,6,67,3,72 00 00 00,00 3C 80 45,9A D9 B2 43,72 00 00 00 0D 00 01 00 00 3C 80 45 9A D9 B2 43
115,14,1,4370.8,526.5,10,87,11,73 00 00 00,66 96 88 45,00 A0 03 44,73 00 00 00 0E 00 01 00 66 96 88 45 00 A0 03 44
116,15,1,4740.5,344.9,9,82,8,74 00 00 00,00 24 94 45,33 73 AC 43,74 00 00 00 0F 00 01 00 00 24 94 45 33 73 AC 43
117,16,1,4935.9,484.4,5,62,2,75 00 00 00,33 3F 9A 45,33 33 F2 43,75 00 00 00 10 00 01 00 33 3F 9A 45 33 33 F2 43
118,17,1,5324,550.8,8,77,5,76 00 00 00,00 60 A6 45,33 B3 09 44,76 00 00 00 11 00 01 00 00 60 A6 45 33 B3 09 44
119,18,1,5519.3,470.3,10,87,12,77 00 00 00,66 7A AC 45,66 26 EB 43,77 00 00 00 12 00 01 00 66 7A AC 45 66 26 EB 43
120,19,1,5943.6,508.9,8,77,5,78 00 00 00,CD BC B9 45,33 73 FE 43,78 00 00 00 13 00 01 00 CD BC B9 45 33 73 FE 43
121,20,1,6113.7,398.3,5,62,12,79 00 00 00,9A 0D BF 45,66 26 C7 43,79 00 00 00 14 00 01 00 9A 0D BF 45 66 26 C7 43
122,21,1,6546.3,525.9,6,67,9,7A 00 00 00,66 92 CC 45,9A 79 03 44,7A 00 00 00 15 00 01 00 66 92 CC 45 9A 79 03 44
123,22,1,6706.3,381.3,10,87,12,7B 00 00 00,66 92 D1 45,66 A6 BE 43,7B 00 00 00 16 00 01 00 66 92 D1 45 66 A6 BE 43
124,23,1,7116.5,520.8,8,77,1,7C 00 00 00,00 64 DE 45,33 33 02 44,7C 00 00 00 17 00 01 00 00 64 DE 45 33 33 02 44
125,24,1,7320.6,559.3,5,62,4,7D 00 00 00,CD C4 E4 45,33 D3 0B 44,7D 00 00 00 18 00 01 00 CD C4 E4 45 33 D3 0B 44
126,25,1,7753.5,507.9,5,62,6,7E 00 00 00,00 4C F2 45,33 F3 FD 43,7E 00 00 00 19 00 01 00 00 4C F2 45 33 F3 FD 43
127,26,1,7880.7,517.1,8,77,6,7F 00 00 00,9A 45 F6 45,66 46 01 44,7F 00 00 00 1A 00 01 00 9A 45 F6 45 66 46 01 44
128,27,1,8229.8,495.4,9,82,3,80 00 00 00,33 97 00 46,33 B3 F7 43,80 00 00 00 1B 00 01 00 33 97 00 46 33 B3 F7 43
129,28,1,8541.1,532.4,7,72,6,81 00 00 00,66 74 05 46,9A 19 05 44,81 00 00 00 1C 00 01 00 66 74 05 46 9A 19 05 44
130,29,1,8956.4,451.9,9,82,0,82 00 00 00,9A F1 0B 46,33 F3 E1 43,82 00 00 00 1D 00 01 00 9A F1 0B 46 33 F3 E1 43
131,30,1,9172.6,396.6,10,87,7,83 00 00 00,66 52 0F 46,CD 4C C6 43,83 00 00 00 1E 00 01 00 66 52 0F 46 CD 4C C6 43
132,31,1,9497.3,417.7,10,87,12,84 00 00 00,33 65 14 46,9A D9 D0 43,84 00 00 00 1F 00 01 00 33 65 14 46 9A D9 D0 43
133,32,1,9643.9,384,5,62,2,85 00 00 00,9A AF 16 46,00 00 C0 43,85 00 00 00 20 00 01 00 9A AF 16 46 00 00 C0 43
134,33,1,10157.6,435.9,7,72,8,86 00 00 00,66 B6 1E 46,33 F3 D9 43,86 00 00 00 21 00 01 00 66 B6 1E 46 33 F3 D9 43
135,34,1,10366.4,343.5,8,77,11,87 00 00 00,9A F9 21 46,00 C0 AB 43,87 00 00 00 22 00 01 00 9A F9 21 46 00 C0 AB 43
136,35,1,10717.7,393.8,10,87,10,88 00 00 00,CD 76 27 46,66 E6 C4 43,88 00 00 00 23 00 01 00 CD 76 27 46 66 E6 C4 43
137,36,1,10926.5,521.3,5,62,0,89 00 00 00,00 BA 2A 46,33 53 02 44,89 00 00 00 24 00 01 00 00 BA 2A 46 33 53 02 44
138,37,1,11332,351.8,5,62,2,8A 00 00 00,00 10 31 46,66 E6 AF 43,8A 00 00 00 25 00 01 00 00 10 31 46 66 E6 AF 43
139,38,1,11479.7,538.1,10,87,0,8B 00 00 00,CD 5E 33 46,66 86 06 44,8B 00 00 00 26 00 01 00 CD 5E 33 46 66 86 06 44
140,39,1,11915.5,557.7,10,87,12,8C 00 00 00,00 2E 3A 46,CD 6C 0B 44,8C 00 00 00 27 00 01 00 00 2E 3A 46 CD 6C 0B 44
141,40,1,12109.2,435.3,9,82,12,8D 00 00 00,CD 34 3D 46,66 A6 D9 43,8D 00 00 00 28 00 01 00 CD 34 3D 46 66 A6 D9 43
142,41,1,12523.4,354.8,7,72,11,8E 00 00 00,9A AD 43 46,66 66 B1 43,8E 00 00 00 29 00 01 00 9A AD 43 46 66 66 B1 43
143,42,1,12723.7,393.3,5,62,7,8F 00 00 00,CD CE 46 46,66 A6 C4 43,8F 00 00 00 2A 00 01 00 CD CE 46 46 66 A6 C4 43
144,43,1,13072.2,371.6,9,82,5,90 00 00 00,CD 40 4C 46,CD CC B9 43,90 00 00 00 2B 00 01 00 CD 40 4C 46 CD CC B9 43
145,44,1,13297.8,388.2,6,67,6,91 00 00 00,33 C7 4F 46,9A 19 C2 43,91 00 00 00 2C 00 01 00 33 C7 4F 46 9A 19 C2 43
146,45,1,13749.1,544.9,9,82,6,92 00 00 00,66 D4 56 46,9A 39 08 44,92 00 00 00 2D 00 01 00 66 D4 56 46 9A 39 08 44
147,46,1,13857.9,346,9,82,8,93 00 00 00,9A 87 58 46,00 00 AD 43,93 00 00 00 2E 00 01 00 9A 87 58 46 00 00 AD 43
148,47,1,14143.6,503,10,87,1,94 00 00 00,66 FE 5C 46,00 80 FB 43,94 00 00 00 2F 00 01 00 66 FE 5C 46 00 80 FB 43
149,48,1,14626.1,362.8,10,87,6,95 00 00 00,66 88 64 46,66 66 B5 43,95 00 00 00 30 00 01 00 66 88 64 46 66 66 B5 43
150,49,1,14839.8,490.4,9,82,11,96 00 00 00,33 DF 67 46,33 33 F5 43,96 00 00 00 31 00 01 00 33 DF 67 46 33 33 F5 43
151,50,1,15120.9,378.3,7,72,12,97 00 00 00,9A 43 6C 46,66 26 BD 43,97 00 00 00 32 00 01 00 9A 43 6C 46 66 26 BD 43
152,51,1,15546.5,416.9,9,82,3,98 00 00 00,00 EA 72 46,33 73 D0 43,98 00 00 00 33 00 01 00 00 EA 72 46 33 73 D0 43
153,52,1,15740.6,556.4,6,67,12,99 00 00 00,66 F2 75 46,9A 19 0B 44,99 00 00 00 34 00 01 00 66 F2 75 46 9A 19 0B 44
154,53,1,16017.8,404.3,9,82,11,9A 00 00 00,33 47 7A 46,66 26 CA 43,9A 00 00 00 35 00 01 00 33 47 7A 46 66 26 CA 43
155,54,1,16432.3,543.8,8,77,3,9B 00 00 00,9A 60 80 46,33 F3 07 44,9B 00 00 00 36 00 01 00 9A 60 80 46 33 F3 07 44
156,55,1,16689.7,363.6,9,82,8,9C 00 00 00,66 63 82 46,CD CC B5 43,9C 00 00 00 37 00 01 00 66 63 82 46 CD CC B5 43
157,56,1,16956.9,532.5,6,67,0,9D 00 00 00,CD 79 84 46,00 20 05 44,9D 00 00 00 38 00 01 00 CD 79 84 46 00 20 05 44
158,57,1,17304.2,541.7,10,87,3,9E 00 00 00,66 30 87 46,CD 6C 07 44,9E 00 00 00 39 00 01 00 66 30 87 46 CD 6C 07 44
159,58,1,17648.4,519.9,7,72,11,9F 00 00 00,CD E0 89 46,9A F9 01 44,9F 00 00 00 3A 00 01 00 CD E0 89 46 9A F9 01 44
160,59,1,17798.9,376.2,10,87,10,A0 00 00 00,CD 0D 8B 46,9A 19 BC 43,A0 00 00 00 3B 00 01 00 CD 0D 8B 46 9A 19 BC 43
161,60,1,18117.1,456.3,6,67,6,A1 00 00 00,33 8A 8D 46,66 26 E4 43,A1 00 00 00 3C 00 01 00 33 8A 8D 46 66 26 E4 43
162,61,1,18370.8,421.1,7,72,9,A2 00 00 00,9A 85 8F 46,CD 8C D2 43,A2 00 00 00 3D 00 01 00 9A 85 8F 46 CD 8C D2 43
163,62,1,18700.9,442.2,6,67,9,A3 00 00 00,CD 19 92 46,9A 19 DD 43,A3 00 00 00 3E 00 01 00 CD 19 92 46 9A 19 DD 43
164,63,1,19067.4,408.5,7,72,12,A4 00 00 00,CD F6 94 46,00 40 CC 43,A4 00 00 00 3F 00 01 00 CD F6 94 46 00 40 CC 43
165,64,1,19392.2,429.6,6,67,4,A5 00 00 00,66 80 97 46,CD CC D6 43,A5 00 00 00 40 00 01 00 66 80 97 46 CD CC D6 43
166,65,1,19550.9,557,5,62,4,A6 00 00 00,CD BD 98 46,00 40 0B 44,A6 00 00 00 41 00 01 00 CD BD 98 46 00 40 0B 44
167,66,1,19930.4,412.4,7,72,11,A7 00 00 00,CD B4 9B 46,33 33 CE 43,A7 00 00 00 42 00 01 00 CD B4 9B 46 33 33 CE 43
168,67,1,20340.7,551.9,5,62,3,A8 00 00 00,66 E9 9E 46,9A F9 09 44,A8 00 00 00 43 00 01 00 66 E9 9E 46 9A F9 09 44
169,68,1,20621.8,399.8,8,77,9,A9 00 00 00,9A 1B A1 46,66 E6 C7 43,A9 00 00 00 44 00 01 00 9A 1B A1 46 66 E6 C7 43
170,69,1,20812,539.3,6,67,11,AA 00 00 00,00 98 A2 46,33 D3 06 44,AA 00 00 00 45 00 01 00 00 98 A2 46 33 D3 06 44
171,70,1,21147.4,387.4,6,67,7,AB 00 00 00,CD 36 A5 46,33 B3 C1 43,AB 00 00 00 46 00 01 00 CD 36 A5 46 33 B3 C1 43
